Product ID,Product Name,Category,List Price (€),Discount (€),Units Sold,Cost (€),Region,Date Sold
P141,Coffee Maker,Home Goods,247.67,55.6,262,172.35,North America,2025-03-14
P142,Bluetooth Speaker,Electronics,130.03,18.9,37,66.4,Europe,2025-02-01
P143,Coffee Maker,Home Goods,224.54,4.2,196,106.82,North America,2025-04-23
P144,Yoga Mat,Fitness,215.53,54.6,248,88.18,North America,2025-04-12
P145,Espresso Machine,Home Goods,150.8,24.1,24,65.06,Europe,2025-01-01
P146,Smartwatch,Electronics,131.87,0.79,282,61.11,South America,2025-01-30
P147,LED Desk Lamp,Home Goods,174.54,12.21,22,100.9,Asia,2025-02-21
P148,Running Shoes,Apparel,125.88,24.5,155,53.63,North America,2025-01-09
P149,Espresso Machine,Home Goods,228.94,38.31,245,100.34,Asia,2025-03-20
P150,LED Desk Lamp,Home Goods,121.11,32.69,235,57.32,Asia,2025-03-02
